Time and date,GPU temperature,GPU usage,Memory usage,Power percent,RAM usage,Framerate
15-01-2025 19:57:53,55,1,1751.59,39,14587,N/A
15-01-2025 19:57:54,55,0,1738.59,40,14588,N/A
15-01-2025 19:57:55,55,3,1747.402,39,14630,N/A
15-01-2025 19:57:56,55,1,1754.84,40,14633,N/A
15-01-2025 19:57:57,55,1,1754.84,40,14635,N/A
15-01-2025 19:57:58,55,2,1750.777,40,14633,N/A
15-01-2025 19:57:59,55,1,1750.684,40,14599,N/A
15-01-2025 19:58:00,55,1,1750.371,40,14596,N/A
15-01-2025 19:58:01,55,1,1750.371,40,14592,N/A
15-01-2025 19:58:02,55,1,1774.934,40,14679,N/A
15-01-2025 19:58:03,55,1,1776.059,40,14676,N/A
15-01-2025 19:58:04,55,2,1776.059,40,14673,N/A
15-01-2025 19:58:05,55,4,1804.863,39,14632,N/A
15-01-2025 19:58:06,55,2,1786.395,39,14615,N/A
15-01-2025 19:58:07,55,7,1836.898,40,14661,N/A
15-01-2025 19:58:08,55,1,1830.898,40,14644,N/A
15-01-2025 19:58:09,55,1,1829.336,40,14728,N/A
15-01-2025 19:58:10,55,1,1829.336,40,14669,N/A
15-01-2025 19:58:11,55,1,1829.336,39,14666,N/A
15-01-2025 19:58:12,55,1,1828.961,39,14645,N/A
15-01-2025 19:58:13,55,1,1831.461,39,14767,N/A
15-01-2025 19:58:14,55,1,1831.461,40,14789,N/A
15-01-2025 19:58:15,55,1,1831.461,40,14794,N/A
15-01-2025 19:58:16,55,1,1831.461,40,14830,N/A
15-01-2025 19:58:17,55,1,1831.461,39,14940,N/A
15-01-2025 19:58:18,55,1,1831.461,40,15095,N/A
15-01-2025 19:58:19,55,1,1831.461,39,15104,N/A
15-01-2025 19:58:20,55,1,1828.961,40,15018,N/A
15-01-2025 19:58:21,55,1,1823.898,39,14879,N/A
15-01-2025 19:58:22,55,1,1804.836,40,15019,N/A
15-01-2025 19:58:23,55,1,1804.836,40,14804,N/A
15-01-2025 19:58:24,55,5,1808.059,40,15164,N/A
15-01-2025 19:58:25,55,5,1807.059,40,15134,N/A
15-01-2025 19:58:26,55,5,1806.809,40,15175,N/A
15-01-2025 19:58:27,55,2,1806.809,40,15182,N/A
15-01-2025 19:58:28,55,2,1815.793,40,15196,N/A
15-01-2025 19:58:29,55,3,1806.809,40,15172,N/A
15-01-2025 19:58:30,55,1,1806.809,40,15160,N/A
15-01-2025 19:58:31,55,1,1806.809,40,15090,N/A
15-01-2025 19:58:32,55,1,1806.809,39,15090,N/A
15-01-2025 19:58:33,55,1,1805.809,39,15066,N/A
15-01-2025 19:58:34,55,1,1805.809,40,15065,N/A
15-01-2025 19:58:35,55,1,1805.809,40,15081,N/A
15-01-2025 19:58:36,55,1,1805.809,40,15096,N/A
15-01-2025 19:58:37,55,1,1805.809,40,15100,N/A
15-01-2025 19:58:38,55,1,1805.809,40,15098,N/A
15-01-2025 19:58:39,55,1,1805.809,40,15096,N/A
15-01-2025 19:58:40,55,1,1805.809,40,15096,N/A
15-01-2025 19:58:41,55,1,1805.809,40,15095,N/A
15-01-2025 19:58:42,55,1,1805.809,40,15096,N/A
15-01-2025 19:58:43,55,1,1805.809,40,15091,N/A
15-01-2025 19:58:44,55,1,1805.809,39,15090,N/A
15-01-2025 19:58:45,55,1,1805.809,40,15090,N/A
15-01-2025 19:58:46,55,1,1805.809,40,15089,N/A
15-01-2025 19:58:47,55,1,1805.809,40,15088,N/A
15-01-2025 19:58:48,55,1,1805.809,40,15089,N/A
15-01-2025 19:58:49,55,1,1805.809,40,15085,N/A
15-01-2025 19:58:50,55,1,1805.809,40,15088,N/A
15-01-2025 19:58:51,55,1,1805.809,40,15088,N/A
15-01-2025 19:58:52,55,1,1805.809,39,15089,N/A
15-01-2025 19:58:53,55,1,1805.809,39,15089,N/A
15-01-2025 19:58:54,55,4,1805.809,40,15089,N/A
15-01-2025 19:58:55,55,5,1805.809,40,15088,N/A
15-01-2025 19:58:56,55,4,1805.809,39,15085,N/A
15-01-2025 19:58:57,55,5,1805.809,40,15085,N/A
15-01-2025 19:58:58,55,1,1805.809,39,15085,N/A
15-01-2025 19:58:59,55,8,1805.809,40,15129,N/A
15-01-2025 19:59:00,56,7,1805.996,40,15178,N/A
15-01-2025 19:59:01,55,1,1805.996,40,15165,N/A
15-01-2025 19:59:02,55,1,1805.996,39,15158,N/A
15-01-2025 19:59:03,55,2,1805.996,39,15218,N/A
15-01-2025 19:59:04,56,5,1808.902,39,15207,N/A
15-01-2025 19:59:05,55,5,1808.34,40,15247,N/A
15-01-2025 19:59:06,55,5,1808.34,40,15283,N/A
15-01-2025 19:59:07,56,9,1807.84,40,15381,N/A
15-01-2025 19:59:08,55,5,1807.84,40,15396,N/A
15-01-2025 19:59:09,55,5,2034.285,40,15654,N/A
15-01-2025 19:59:10,56,1,2044.535,39,16099,N/A
15-01-2025 19:59:11,55,2,2104.02,40,15930,N/A
15-01-2025 19:59:12,55,1,2104.02,40,16007,N/A
15-01-2025 19:59:13,55,1,2065.547,40,16137,N/A
15-01-2025 19:59:14,55,1,1975.922,40,16187,N/A
15-01-2025 19:59:15,55,1,1975.922,40,16197,N/A
15-01-2025 19:59:16,55,1,1975.922,40,16134,N/A
15-01-2025 19:59:17,56,1,1975.922,40,16191,N/A
15-01-2025 19:59:18,55,1,1975.922,40,16204,N/A
15-01-2025 19:59:19,55,1,1984.859,40,16190,N/A
15-01-2025 19:59:20,56,1,1984.859,40,16163,N/A
15-01-2025 19:59:21,56,1,1984.859,40,16149,N/A
15-01-2025 19:59:22,55,1,1984.859,39,16181,N/A
15-01-2025 19:59:23,56,1,1984.859,40,16175,N/A
15-01-2025 19:59:24,55,1,1984.859,40,16151,N/A
15-01-2025 19:59:25,55,1,1984.859,40,16143,N/A
15-01-2025 19:59:26,56,1,1984.859,40,16144,N/A
15-01-2025 19:59:27,55,1,1984.859,39,16148,N/A
15-01-2025 19:59:28,56,9,1944.352,40,16193,N/A
15-01-2025 19:59:29,56,4,1947.539,40,16193,N/A
15-01-2025 19:59:30,56,4,1947.539,40,16171,N/A
15-01-2025 19:59:31,56,7,1983.102,40,16172,49.6
15-01-2025 19:59:32,56,1,2001.602,40,16190,19.9
15-01-2025 19:59:33,56,3,2007.289,40,16232,15.1
15-01-2025 19:59:34,56,6,2021.539,40,16256,35.8
15-01-2025 19:59:35,56,3,2026.344,40,16268,44.2
15-01-2025 19:59:36,56,3,2026.344,39,16343,27.3
15-01-2025 19:59:37,56,3,2026.344,39,16365,25.8
15-01-2025 19:59:38,56,3,2026.344,39,16392,26
15-01-2025 19:59:39,56,3,2026.344,40,16405,25.1
15-01-2025 19:59:40,56,3,2235.75,40,16468,23.5
15-01-2025 19:59:41,56,2,2235.75,40,16501,25.8
15-01-2025 19:59:42,55,0,2235.75,39,16566,26.3
15-01-2025 19:59:43,56,0,2234.375,39,16598,1.4
15-01-2025 19:59:44,55,0,2234.375,39,16604,2.9
15-01-2025 19:59:45,55,1,2234.375,40,16760,1.6
15-01-2025 19:59:46,56,4,2299.688,39,16789,1.6
15-01-2025 19:59:47,56,1,2247.09,39,16980,1.8
15-01-2025 19:59:48,56,24,2243.07,41,16932,172
15-01-2025 19:59:49,56,25,2243.027,41,16958,558.9
15-01-2025 19:59:50,56,14,2237.965,40,17035,298.6
15-01-2025 19:59:51,56,13,2237.965,40,17100,316.6
15-01-2025 19:59:52,56,12,2237.965,40,16966,273.8
15-01-2025 19:59:53,56,1,2241.609,39,16899,201.8
15-01-2025 19:59:54,56,24,2241.734,41,16885,423.7
15-01-2025 19:59:55,56,11,2241.734,41,16885,135.8
15-01-2025 19:59:56,56,2,2423.551,39,17008,130
15-01-2025 19:59:57,56,0,2379.988,39,16982,0
15-01-2025 19:59:58,56,0,2379.988,39,16962,0
15-01-2025 19:59:59,56,0,2379.488,40,16952,0
15-01-2025 20:00:00,56,1,2410.426,39,16962,0
15-01-2025 20:00:01,56,1,2369.527,40,16942,0
15-01-2025 20:00:02,56,2,2368.422,39,16933,0
15-01-2025 20:00:03,56,2,2305.965,39,17052,0.4
15-01-2025 20:00:04,56,24,2322.84,41,17064,446.6
15-01-2025 20:00:05,56,25,2322.922,41,17046,457.7
15-01-2025 20:00:06,56,24,2227.898,41,17009,493.6
15-01-2025 20:00:07,56,24,2227.898,41,16996,494.9
15-01-2025 20:00:08,56,24,2227.898,41,16989,493.2
15-01-2025 20:00:09,56,24,2227.898,41,16968,493.7
15-01-2025 20:00:10,56,23,2227.898,41,16905,491.2
15-01-2025 20:00:11,56,24,2227.898,41,16871,494.8
15-01-2025 20:00:12,56,25,2227.898,41,16816,496.5
15-01-2025 20:00:13,56,24,2227.898,41,16833,496.7
15-01-2025 20:00:14,56,25,2227.898,42,16833,502.7
15-01-2025 20:00:15,56,24,2227.898,41,16887,505.3
15-01-2025 20:00:16,56,35,2280.523,44,16954,365.3
15-01-2025 20:00:17,56,1,2277.656,39,17051,388.5
15-01-2025 20:00:18,56,0,2277.656,39,17173,0
15-01-2025 20:00:19,56,1,2430.695,39,17170,0
15-01-2025 20:00:20,56,5,2603.016,39,17390,3
15-01-2025 20:00:21,56,1,2648.879,39,17463,32.6
15-01-2025 20:00:22,56,10,2873.465,40,17479,7.4
15-01-2025 20:00:23,56,0,2999.176,39,17537,17.2
15-01-2025 20:00:24,56,0,3029.176,39,17537,0
15-01-2025 20:00:25,56,0,3029.176,39,17528,0
15-01-2025 20:00:26,56,14,3480.961,41,17618,4.5
15-01-2025 20:00:27,56,13,3747.523,40,17651,41.6
15-01-2025 20:00:28,56,12,3873.516,41,17673,42.4
15-01-2025 20:00:29,56,3,3877.828,39,17656,44.5
15-01-2025 20:00:30,56,3,3877.828,39,17655,44.7
15-01-2025 20:00:31,56,3,3835.078,39,17841,44.7
15-01-2025 20:00:32,56,3,3835.078,39,17836,44.9
15-01-2025 20:00:33,56,3,3835.078,39,17833,45.2
15-01-2025 20:00:34,56,3,3835.078,39,17823,44.8
15-01-2025 20:00:35,56,3,3835.078,39,17805,44.9
15-01-2025 20:00:36,56,4,3854.953,39,17854,43.6
15-01-2025 20:00:37,56,3,3916.016,39,17690,41.2
15-01-2025 20:00:38,56,3,3877.141,39,17684,43.9
15-01-2025 20:00:39,56,3,3872.266,39,17663,44.5
15-01-2025 20:00:40,56,5,3931.672,41,17686,40.5
15-01-2025 20:00:41,60,85,4066.582,61,17753,167.9
15-01-2025 20:00:42,61,97,4314.73,66,17788,304
15-01-2025 20:00:43,61,98,4318.23,65,17792,323.1
15-01-2025 20:00:44,62,93,4320.574,67,17786,311.9
15-01-2025 20:00:45,61,94,4321.766,62,17792,311.9
15-01-2025 20:00:46,62,98,4321.766,67,17798,309.2
15-01-2025 20:00:47,62,98,4321.766,63,17794,314.1
